PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD
47,4720,4720,1976,"Wheat, durum",181000,73200,181000,73200,1,29.4,-99,2000,5315,-99,144700,29.36464088,-99,1976.775956,-0.011612022
47,4720,4720,1976,"Wheat, spring",643000,260200,643000,260200,1,28.1,-99,1900,18052,-99,491300,28.07465008,-99,1888.162952,-0.006230025
47,4720,4720,1976,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Barley,90900,36800,86100,34800,0.947194719,48.5,-99,2600,4175,-99,90900,48.49012776,-99,2612.068966,0.00464191
47,4721,4721,1976,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Canola,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Flaxseed,11300,4600,11300,4600,1,18.2,-99,1100,206,-99,5200,18.2300885,-99,1130.434783,0.027667984
47,4721,4721,1976,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Oats,65000,26300,58000,23500,0.892307692,60.9,-99,2300,3530,-99,54400,60.86206897,-99,2314.893617,0.006475486
47,4721,4721,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Summerfallow,1001000,405100,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4721,4721,1976,"Wheat, all",1181000,477900,1181000,477900,1,32.6,-99,2200,38558,-99,1049400,32.64860288,-99,2195.856874,-0.001883239
