SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
SKBKA43~~~A,SK,BKA,43~~~,A,1,0,12,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,1,0,-9,-9
SKBKA43~~~A,SK,BKA,43~~~,A,2,12,36,,B,nt,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,1,0,-9,-9
SKBKA43~~~A,SK,BKA,43~~~,A,3,36,74,,C,ca,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,20,-9,-9
SKBKA43~~~A,SK,BKA,43~~~,A,4,74,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,2,13,-9,-9
SKBKAHS43~A,SK,BKA,HS43~,A,1,0,12,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,4,0,-9,-9
SKBKAHS43~A,SK,BKA,HS43~,A,2,12,36,,B,ntsa,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,6,0,-9,-9
SKBKAHS43~A,SK,BKA,HS43~,A,3,36,74,,C,casa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,8,20,-9,-9
SKBKAHS43~A,SK,BKA,HS43~,A,4,74,100,,C,ksa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,8,13,-9,-9
SKBKAHS~~~A,SK,BKA,HS~~~,A,1,0,12,,A,p,,0,F,10,32,41,27,2.5,6.3,6.6,100,24,4.2,47,-9,33,19,1.4,4,0,-9,-9
SKBKAHS~~~A,SK,BKA,HS~~~,A,2,12,36,,B,ntsa,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,6,0,-9,-9
SKBKAHS~~~A,SK,BKA,HS~~~,A,3,36,74,,C,casa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,8,20,-9,-9
SKBKAHS~~~A,SK,BKA,HS~~~,A,4,74,100,,C,ksa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,8,13,-9,-9
SKBKAS43~~A,SK,BKA,S43~~,A,1,0,12,,A,psa,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,6,0,-9,-9
SKBKAS43~~A,SK,BKA,S43~~,A,2,12,36,,B,ntsa,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,6,0,-9,-9
SKBKAS43~~A,SK,BKA,S43~~,A,3,36,74,,C,casa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,8,20,-9,-9
SKBKAS43~~A,SK,BKA,S43~~,A,4,74,100,,C,ksa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,8,13,-9,-9
SKBKAS~~~~A,SK,BKA,S~~~~,A,1,0,12,,A,psa,,0,F,10,32,41,27,2.5,6.3,6.6,100,24,4.2,47,-9,33,19,1.4,6,0,-9,-9
SKBKAS~~~~A,SK,BKA,S~~~~,A,2,12,36,,B,ntsa,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,6,0,-9,-9
SKBKAS~~~~A,SK,BKA,S~~~~,A,3,36,74,,C,casa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,8,20,-9,-9
SKBKAS~~~~A,SK,BKA,S~~~~,A,4,74,100,,C,ksa,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,8,13,-9,-9
SKBKA~~~~~A,SK,BKA,~~~~~,A,1,0,12,,A,p,,0,F,10,32,41,27,2.5,6.3,6.6,100,24,4.2,47,-9,33,19,1.4,1,0,-9,-9
SKBKA~~~~~A,SK,BKA,~~~~~,A,2,12,36,,B,nt,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,1,0,-9,-9
SKBKA~~~~~A,SK,BKA,~~~~~,A,3,36,74,,C,ca,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,20,-9,-9
SKBKA~~~~~A,SK,BKA,~~~~~,A,4,74,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,2,13,-9,-9
SKBKC43~~~A,SK,BKC,43~~~,A,1,0,10,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,1,0,-9,-9
SKBKC43~~~A,SK,BKC,43~~~,A,2,10,21,,A,e,,0,F,10,22,58,20,0.9,6.3,6.6,100,16,2.2,47,-9,32,16,1.4,1,0,-9,-9
SKBKC43~~~A,SK,BKC,43~~~,A,3,21,38,,B,nt,,0,VF,12,45,27,28,0.8,6.8,7,100,21,4,47,-9,30,18,1.4,1,0,-9,-9
SKBKC43~~~A,SK,BKC,43~~~,A,4,38,94,,C,ca,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,20,-9,-9
SKBKC43~~~A,SK,BKC,43~~~,A,5,94,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,4,13,-9,-9
SKBKC~~~~~A,SK,BKC,~~~~~,A,1,0,10,,A,p,,0,F,10,32,41,27,2.5,6.3,6.6,100,24,4.2,47,-9,33,19,1.4,1,0,-9,-9
SKBKC~~~~~A,SK,BKC,~~~~~,A,2,10,21,,A,e,,0,F,10,22,58,20,0.9,6.3,6.6,100,16,2.2,47,-9,32,16,1.4,1,0,-9,-9
SKBKC~~~~~A,SK,BKC,~~~~~,A,3,21,38,,B,nt,,0,F,7,30,44,26,0.9,7,7.2,100,20,2.44,47,-9,35,20,1.4,1,0,-9,-9
SKBKC~~~~~A,SK,BKC,~~~~~,A,4,38,94,,C,ca,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,20,-9,-9
SKBKC~~~~~A,SK,BKC,~~~~~,A,5,94,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,4,13,-9,-9
SKBKE43~~~A,SK,BKE,43~~~,A,1,0,10,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,1,0,-9,-9
SKBKE43~~~A,SK,BKE,43~~~,A,2,10,17,,A,e,,0,F,10,22,58,20,0.9,6.3,6.6,100,16,2.2,47,-9,32,16,1.4,1,0,-9,-9
SKBKE43~~~A,SK,BKE,43~~~,A,3,17,29,,AB,,,0,VF,14,29,43,28,0.8,6.2,6.5,100,20,2.21,47,-9,33,18,1.4,1,0,-9,-9
SKBKE43~~~A,SK,BKE,43~~~,A,4,29,42,,B,nt,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,1,0,-9,-9
SKBKE43~~~A,SK,BKE,43~~~,A,5,42,88,,C,ca,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,18,-9,-9
SKBKE43~~~A,SK,BKE,43~~~,A,6,88,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,2,18,-9,-9
SKBKE~~~~~A,SK,BKE,~~~~~,A,1,0,10,,A,p,,0,F,16,32,41,27,2.5,6.3,6.6,100,24,4.2,47,-9,33,19,1.4,1,0,-9,-9
SKBKE~~~~~A,SK,BKE,~~~~~,A,2,10,17,,A,e,,0,F,10,22,58,20,0.9,6.3,6.6,100,16,2.2,47,-9,32,16,1.4,1,0,-9,-9
SKBKE~~~~~A,SK,BKE,~~~~~,A,3,17,29,,AB,,,0,F,7,30,44,26,0.9,6.3,6.6,100,19,2.44,47,-9,33,18,1.4,1,0,-9,-9
SKBKE~~~~~A,SK,BKE,~~~~~,A,4,29,42,,B,nt,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,1,0,-9,-9
SKBKE~~~~~A,SK,BKE,~~~~~,A,5,42,88,,C,ca,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,18,-9,-9
SKBKE~~~~~A,SK,BKE,~~~~~,A,6,88,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,26,1.5,2,18,-9,-9
SKBKK43~~~A,SK,BKK,43~~~,A,1,0,12,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,1,0,-9,-9
SKBKK43~~~A,SK,BKK,43~~~,A,2,12,40,,B,tnj,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,1,0,-9,-9
SKBKK43~~~A,SK,BKK,43~~~,A,3,40,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,18,-9,-9
SKBKK~~~~~A,SK,BKK,~~~~~,A,1,0,12,,A,p,,0,F,10,32,41,27,2.5,6.3,6.6,100,24,4.2,47,-9,33,19,1.4,1,0,-9,-9
SKBKK~~~~~A,SK,BKK,~~~~~,A,2,12,40,,B,tnj,,0,F,8,28,32,40,0.9,7,7.2,100,27,1.45,51,-9,40,24,1.3,1,0,-9,-9
SKBKK~~~~~A,SK,BKK,~~~~~,A,3,40,100,,C,k,,0,F,10,30,33,37,0.5,7.9,8,100,24,1.72,43,-9,41,24,1.5,2,18,-9,-9
SKBLA~~~~~N,SK,BLA,~~~~~,N,1,0,20,,O,f,1,0,-,-9,-9,-9,-9,51.3,2.8,3.3,20,103,30,96,-9,30,5,0.1,0,0,2,0
SKBLA~~~~~N,SK,BLA,~~~~~,N,2,20,200,,O,f,2,0,-,-9,-9,-9,-9,53.2,2.9,3.4,11,116,30,96,-9,30,5,0.1,0,0,2,0
SKBLA~~~~~N,SK,BLA,~~~~~,N,3,200,340,,O,f,3,0,-,-9,-9,-9,-9,54.1,4.1,4.6,51,122,30,96,-9,40,12,0.1,0,0,2,0
SKBLDA~~~~N,SK,BLD,A~~~~,N,1,0,5,,O,f,1,0,-,-9,-9,-9,-9,48.9,3.7,4.2,56,75,30,96,-9,30,5,0.1,0,0,2,0
SKBLDA~~~~N,SK,BLD,A~~~~,N,2,5,31,,O,f,2,0,-,-9,-9,-9,-9,47.6,5.8,6.3,45,127,30,96,-9,30,5,0.1,0,0,2,0
SKBLDA~~~~N,SK,BLD,A~~~~,N,3,31,51,,O,f,3,0,-,-9,-9,-9,-9,45.2,6.9,7.4,97,200,30,96,-9,40,12,0.1,0,0,2,0
SKBLDA~~~~N,SK,BLD,A~~~~,N,4,51,66,,O,m,,0,-,-9,-9,-9,-9,43.5,6.3,6.8,96,200,3,96,-9,60,15,0.1,0,0,5,5
