11,Barley grain flaked,,,,81.1,12.5,17,5,,,2,2.9,59.3,26.3,1.9,84,3,2.1,1.4,33.1,10.4,30,30,5,79.2,75,75,34,0.61,0.29,0.49,0.86,0.38,0.1,,0.7,,0.39,0.16,0.61,0.11,0.15,0.15,0.13,0.56,0.03,0.14,0.35,5.43,0.1,59.5,14.7,0.2,31.2,3.8,,26.2
12,Barley hay,,,100,88,10.9,44.7,4.1,,,2.4,8.4,5.7,56.9,4.3,60.2,2.2,1.3,0.7,32.8,3.6,30,30,3,74.8,75,75,98,0.31,0.11,0.31,0.6,0.31,0.07,,0.38,,0.31,0.49,0.42,0.37,0.18,0.18,0.88,1.92,0.23,0.18,1.67,7.05,,310.2,35.1,,25.4,15,,
13,Barley silage,,,100,33.6,12,65.3,4.9,,,3.5,8.6,9.2,54.8,4.8,60.6,2.2,1.3,0.8,20.8,8.3,50,50,4,54,75,75,65,0.21,0.22,0.44,0.77,0.44,0.21,,0.47,,0.47,0.16,0.66,0.41,0.18,0.18,0.86,2.06,0.19,0.19,1.41,6.94,,353,38.5,0.2,28.3,,,
14,Barley straw,,,100,85.1,6.1,48,0.6,,,1,12.1,14.9,71.6,5.2,48.3,1.7,0.9,0.4,35.8,2.5,30,30,6,74.6,75,75,34,0.71,0.13,0.22,0.41,0.21,0.07,,0.31,,0.17,0.06,0.27,0.52,0.18,0.18,0.39,2.29,0.52,0.21,,5.1,,200,42.7,0.4,25.4,,,4
15,"Beet pulp, dry",,,,91.5,9.1,21.9,7,8.6,,1.1,6.8,0.9,41.3,3.9,66.6,2.4,1.5,0.9,53.1,1.7,40,40,8,65.7,75,75,33,0.4,0.17,0.24,0.42,0.27,0.06,,0.25,,0.29,0.1,0.41,0.96,0.23,0.23,0.12,0.71,0.19,0.3,0.99,8.4,,640.7,61.6,0.1,29.9,0.4,0.6,
16,"Beet pulp, wet",,,,21.9,9.5,20.8,4.5,23.2,,0.9,8.6,1.7,48.2,4.4,66.6,2.4,1.5,0.9,55.7,1.7,40,40,8,65.7,75,75,33,0.42,0.18,0.26,0.44,0.29,0.06,,0.27,,0.3,0.11,0.43,0.99,0.25,0.25,0.09,0.57,0.1,0.2,0.08,8.79,,748.2,60.8,0.1,22.6,0.4,0.6,
17,Bermudagrass fresh,,,100,34.9,15.2,42.4,6.3,,,2.8,8.6,1.8,66.6,5,57.3,2.1,1.2,0.7,32.4,3.1,30,30,3,80.8,75,75,41,0.43,0.15,0.43,0.83,0.43,0.1,,0.53,,0.43,0.68,0.58,0.48,0.22,0.22,0.76,2.21,0.03,0.27,,10.75,,254.7,77,0.2,41.4,,,
18,Bermudagrass hay,,,100,93,11.1,32.7,5.3,5.8,,1.9,7.9,4.8,67,5.4,56.3,2,1.2,0.6,41.6,3.7,30,30,3,73.3,75,75,98,0.31,0.11,0.31,0.61,0.31,0.07,,0.39,,0.31,0.5,0.43,0.49,0.2,0.2,0.74,1.65,0.13,0.4,0.62,10.65,,217.8,63.1,0.3,34.8,,,
19,Bermudagrass silage,,,100,39,13.5,53.6,8,,,3.2,8.7,2.6,66.6,6.4,55.4,2,1.2,0.6,29.7,2.6,20,20,5,56.1,75,75,41,0.38,0.13,0.38,0.74,0.38,0.09,,0.47,,0.38,0.61,0.52,0.51,0.23,0.23,0.71,2.16,0.05,0.24,0.27,13.32,,536.9,75.3,,43.9,175.4,,
20,Blood meal,,,,89.6,95.1,14.2,21.4,,,1.2,2.8,0.6,4.5,,74.6,2.7,1.8,1.2,74.6,1.3,,,,98.6,,75,,5.06,6.51,0.89,13.53,9.43,1.08,,7.93,,4.78,1.9,9.17,0.14,0.04,0.04,0.32,0.41,0.26,0.65,0.1,4.35,,2378,5.3,0.8,36.6,,,
21,Bluegrass hay,,,100,89.3,7.5,25,6.5,,,1.4,9.3,0.4,68.8,8,51,1.8,1,0.5,37,3.7,30,30,3,73.3,75,75,98,0.21,0.07,0.21,0.41,0.21,0.05,,0.26,,0.21,0.34,0.29,0.28,0.13,0.13,,1.94,,0.14,,3.83,,60,75.5,,14.6,,,
22,Bluestem fresh,,,100,51.2,6.5,46,2.2,,,1,6,0.8,75,14,53,1.9,1.1,0.5,19,6,30,30,3,83.7,75,75,41,0.18,0.07,0.18,0.36,0.18,0.04,,0.23,,0.18,0.29,0.25,0.44,0.41,0.26,,1.31,0.01,0.1,,,,,,,,,,
23,Bluestem hay,,,100,89.2,6,43,6.5,,,1.4,9.7,0.4,69.7,8,50,1.8,1,0.4,37,3.7,30,30,3,73.3,75,75,98,0.17,0.06,0.17,0.33,0.17,0.04,,0.21,,0.17,0.27,0.23,0.41,0.21,0.21,,1.11,0.06,0.87,,9.57,,60,117.8,,20.7,,,
24,Brewers dried grains,,,,93.2,25,17.9,19.3,,,8.5,4.6,5.8,52.1,6.7,72,2.6,1.7,1.1,59.1,3.1,38,38,6,71.4,75,75,18,0.65,0.37,0.88,2.12,0.54,0.32,,1.2,,0.69,0.28,0.95,0.32,0.22,0.22,0.1,0.34,0.02,0.29,1.13,17.64,0.1,327.4,56.1,0.8,214.6,0.8,,29
25,Brewers wet grains,,,,26,28.5,11.4,21.8,0.5,,9.5,4.4,4.8,50,6.7,73.9,2.7,1.8,1.1,63.8,3.1,38,38,6,71.4,75,75,18,0.74,0.42,1.01,2.41,0.61,0.36,,1.37,,0.79,0.32,1.08,0.35,0.23,0.23,0.09,0.12,0.02,0.32,1.5,17.41,0.1,222,51.3,0.8,93,0.8,,29
26,Bromegrass hay,,,100,88.3,8.3,24.6,7.4,9.9,,1.6,8.8,2.6,65.9,6.5,52,1.9,1,0.5,29,3.7,30,30,3,73.3,75,75,98,0.24,0.08,0.24,0.46,0.24,0.06,,0.29,,0.24,0.38,0.32,0.55,0.18,0.18,0.19,1.59,0.04,0.17,,5.96,,,67.4,,16.2,34.6,,
27,Bromegrass silage,,,100,42.1,9,50,11.9,,,2.8,9.8,4.8,71.1,4.8,55,2,1.1,0.6,28,2.6,20,20,5,56.1,75,75,41,0.26,0.09,0.26,0.5,0.26,0.06,,0.32,,0.26,0.41,0.35,0.47,0.17,0.17,,1.67,0.04,0.13,0.27,5,,120,69,,16.3,175.4,,
28,Buffalo grass,,,100,93.4,7.6,25,6.1,,,3.4,10.1,5.5,65,7.4,54,2,1.1,0.5,36,3.6,30,30,3,74,75,75,98,0.22,0.08,0.22,0.42,0.22,0.05,,0.27,,0.22,0.34,0.29,0.26,0.3,0.11,,2.67,0.01,,0.3,20,20,84,167,0,38,8,,
29,Cane fresh,,,100,28,11.3,42,10.6,,,3.9,8,4.9,60,8,63,2.3,1.4,0.8,13,5.8,25,25,9,79.6,75,75,41,0.32,0.11,0.32,0.62,0.32,0.08,,0.4,,0.32,0.51,0.43,0.39,0.24,0.24,,3.61,0.05,0.14,,,,200,,,,254.4,,
30,Cane hay,,,100,82.8,8,36.5,5.9,18.1,,1.3,11.1,71.4,63.3,4.2,63,2.3,1.4,0.8,37,3.7,30,30,3,73.3,75,75,98,0.23,0.08,0.23,0.44,0.23,0.05,,0.28,,0.23,0.36,0.31,0.42,0.23,0.23,,2.11,0.11,0.11,,7.73,,60,69.1,,21,,,
31,Cane silage,,,100,29.3,7.7,35.2,10.4,,,2.4,,11.4,53,19.7,65,2.3,1.5,0.9,27,0.5,20,20,5,72.6,75,75,81,0.54,0.1,0.23,0.33,0.28,0.06,,0.21,,0.17,0.06,0.21,0.35,0.29,0.29,0.13,1.91,0.1,0.35,0.3,21.93,,383,129.9,0,14.9,,,
32,Canola grain,,,,94.7,23.9,41.5,11.1,,,39.8,4.3,1.4,28.2,6.4,109.2,3.9,2.8,2,37,3.1,38,38,6,71.4,75,75,18,0.62,0.35,0.84,2.02,0.51,0.3,,1.15,,0.66,0.27,0.9,0.53,0.35,0.35,0.07,0.85,0.02,0.41,0.08,5.31,0.1,98.1,74.5,0.8,46.5,0.8,,29
33,Canola meal,,,,90.4,40.9,32.2,17.4,8.8,,7.3,7.4,1.3,30.2,8.8,71.1,2.6,1.7,1.1,42.3,9.2,40,40,6,71.1,75,75,23,2.77,1.65,2.02,3.26,2.73,0.57,,1.91,,1.98,0.5,2.63,0.69,0.56,0.56,0.12,1.26,0.06,0.71,0.14,6.46,,230.5,68.4,1.1,59.8,,,
34,"Citrus pulp, dry",,,,87.7,6.9,41.1,5.6,,,2.4,7.4,1,24,2.4,70,2.5,1.6,1,40.3,1.5,50,50,9,66.2,75,75,33,0.31,0.13,0.19,0.32,0.21,0.04,,0.19,,0.22,0.08,0.31,1.84,0.13,0.13,0.12,0.98,0.05,0.11,0.19,6.4,,124.6,9.9,,12.1,,,
35,"Citrus pulp, wet",,,,19.4,8.6,56.7,4.5,0.9,,3.2,6.8,1.7,26.3,3.2,70.2,2.5,1.6,1,38.1,1.5,50,50,9,66.2,75,75,33,0.38,0.16,0.23,0.4,0.26,0.06,,0.24,,0.27,0.09,0.39,1.28,0.13,0.13,0.11,1.22,0.04,0.11,0.19,5.48,,120.9,11.9,,12.1,,,
36,Corn cobs,,,100,89.3,4.2,37,3.4,,,0.9,2.6,1.4,78.3,4.1,58.3,2.1,1.3,0.7,30.1,8.7,35,35,4,64,75,75,56,0.08,0.11,0.14,0.6,0.05,0.03,,0.2,,0.14,0.02,0.19,0.06,0.05,0.05,0.25,0.89,0.03,0.05,0.13,7.31,,245.7,13.9,0.1,26.5,1.2,,
37,Corn ear corn,,,,83.3,8.3,24.7,3.2,,,3.6,1.7,60.7,19.4,1.8,84.6,3.1,2.1,1.4,63.6,4.4,18,18,5,85.8,55,75,56,0.15,0.17,0.22,0.89,0.14,0.09,,0.3,,0.23,0.03,0.31,0.04,0.12,0.12,0.09,0.44,0.01,0.1,0.19,4.44,0,91.6,10.2,0.1,25,0,,
