PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,
46,4604,4604,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Summerfallow,135000,54600,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,"Wheat, all",225600,91300,225600,91300,1,38.6,-99,2600,8719,-99,237300,39,-99,2599.12,-0.000337012,
46,4604,4604,1985,"Wheat, durum",6000,2400,6000,2400,1,35.2,-99,2400,211,-99,5700,35,-99,2375.00,-0.010416667,
46,4604,4604,1985,"Wheat, spring",219600,88900,219600,88900,1,38.7,-99,2600,8508,-99,231500,39,-99,2604.05,0.001557498,
46,4604,4604,1985,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Barley,85000,34400,85000,34400,1,59.4,-99,3200,5050,-99,110000,59,-99,3197.67,-0.000726744,
46,4605,4605,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Canola,48100,19500,48100,19500,1,25.9,-99,1500,1244,-99,28200,26,-99,1446.15,-0.035897436,
46,4605,4605,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Flaxseed,61300,24800,61300,24800,1,22.7,-99,1400,1390,-99,35300,23,-99,1423.39,0.016705069,
46,4605,4605,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Oats,37818,15200,26000,10500,0.687503305,65.9,-99,2500,1714,-99,26400,66,-99,2514.29,0.005714286,
46,4605,4605,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,"Rye, fall remaining",16300,6600,16300,6600,1,39.2,-99,2500,639,-99,16200,39,-99,2454.55,-0.018181818,
46,4605,4605,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Summerfallow,50000,20200,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4605,4605,1985,"Wheat, all",241100,97600,241100,97600,1,37.5,-99,2500,9034,-99,245900,37,-99,2519.47,0.007786885,
46,4605,4605,1985,"Wheat, durum",1000,400,1000,400,1,41,-99,2800,41,-99,1100,41,-99,2750.00,-0.017857143,
46,4605,4605,1985,"Wheat, spring",240100,97200,240100,97200,1,37.5,-99,2500,8993,-99,244700,37,-99,2517.49,0.006995885,
