Species,Hardiness Zone,Mortality_pct,Age,DBH_cm min,DBH_cm max,DBH_cm mean weighted by area,Roots_kgCperTree min,Roots_kgCperTree max,Roots_kgCperTree mean weighted by area,Fineroots_kgCperTree min,Fineroots_kgCperTree max,Fineroots_kgCperTree mean weighted by area
Hybrid Poplar,4B,30,21,31.512039184570298289145284797996,37.011074066162102269572642398998,35.682172244878557876290869899094,16.802414965805301250156844616868,24.264105947036998855992351309396,22.786850137229269108729567960836,7.561086734612399773425295279594,10.918847676166599569569370942190,10.254082561753170566021253762301
Hybrid Poplar,4B,30,22,32.558036804199197433717927196994,38.631542205810497137008496792987,37.098286540026911950462817912921,18.252973069709899078816306428052,26.828173970919600321849429747090,25.166091795766089234120954643004,8.213837881369469684500472794753,12.072678286913799183821538463235,11.324741308094678160500734520610
Hybrid Poplar,4B,30,23,33.589416503906299737991503207013,40.182830810546903421709430404007,38.435664892721675300890638027340,19.738054194405599162109865574166,29.344617031548999364076735218987,27.486506963837136652273329673335,8.882124387482509320079770986922,13.205077664197100162368769815657,12.368928133726686979798614629544
Hybrid Poplar,4B,30,24,34.511543273925802566282072803006,41.424999237060497137008496792987,39.633026456383817048845230601728,21.062079750051200477400925592519,31.684634339132099256630681338720,29.586556450298498788242795853876,9.477935887522999536258794250898,14.258085452609400078927137656137,13.313950402634342040641968196724
Hybrid Poplar,4B,30,25,35.472965240478501414145284797996,42.596817016601598027136788005009,40.893388380515318658581236377358,22.561445929354199790850543649867,34.320867499864199601233849534765,32.006165365106070908041147049516,10.152650668209400208752413163893,15.444390374938899768153532932047,14.402774414297724092648422811180
Hybrid Poplar,4B,30,26,36.465171813964801117435854393989,43.828975677490198847863211994991,42.085338131219558022166893351823,24.153261131707800757340010022745,36.766467624119002266525058075786,34.265367658337751777253288310021,10.868967509268500748476071748883,16.544910430853601468470515101217,15.419415446251965917667803296354
Hybrid Poplar,4B,30,27,37.273761749267599441282072803006,44.946372985839801117435854393989,43.151367111181016866794379893690,25.364777739669499112551420694217,38.978626232079896851701050763950,36.283621310055210074096976313740,11.414149982851299114372523035854,17.540381804435899226746187196113,16.327629589524860875826561823487
Hybrid Poplar,4B,30,28,38.156337738037102269572642398998,46.010929107666001414145284797996,44.198864692902830597631691489369,26.780798995047000232716527534649,41.180170465957701253500999882817,38.276972625336512123794818762690,12.051359547771099300916830543429,18.531076709680899483601024257950,17.224637681401450350904269726016
Hybrid Poplar,4B,30,29,38.991680145263700296709430404007,46.972736358642599441282072803006,45.184062506552372440182807622477,28.166132050712899825839485856704,43.296643238260500652359041851014,40.211681684914367451710859313607,12.674759422820899956718676548917,19.483489457217199714023081469350,18.095256758211473169239980052225
Hybrid Poplar,4B,30,30,39.659229278564502862991503207013,47.907100677490198847863211994991,46.061201138030099855313892476261,29.125944274044201165452250279486,45.254508033183299176016589626670,41.874956475494840901774296071380,13.106674923319900472051813267171,20.364528614932400074621909880079,18.843730413972672010913811391219
Hybrid Poplar,4B,30,31,40.354221343994097992435854393989,48.877819061279197399016993585974,46.925871099945602793468424351886,30.186922016460801643233935465105,46.995969879873698005212645512074,43.516415665700272086269251303747,13.584114907407400352212789584883,21.148186445943199629482478485443,19.582387049565085135327535681427
Hybrid Poplar,4B,30,32,41.201988220214801117435854393989,49.948917388916001414145284797996,47.977875226463190472259157104418,31.727064731150001364312629448250,49.665777786173698871152737410739,45.891436934532286784360621822998,14.277179129017499192855211731512,22.349600003778199663884151959792,20.651146620539531539861854980700
Hybrid Poplar,4B,30,33,42.032588958740198847863211994991,51.007015228271498585854715202004,48.961809283080775401231221621856,33.301211084246602922576130367815,51.998380095487100049922446487471,48.111074366262243984238011762500,14.985544987911000092140056949575,23.399271042969200351535619120114,21.649983464817903922039477038197
Hybrid Poplar,4B,30,34,42.899635314941399144572642398998,51.983467102050802566282072803006,49.940209104056037858754280023277,35.028812438159398823245282983407,54.291129966438397502770385472104,50.329191098675451598865038249642,15.762965597171699982936843298376,24.431008484897400734325856319629,22.648135994403983062284169136547
Hybrid Poplar,4B,30,35,43.725936889648401972863211994991,52.867736816406299737991503207013,50.869999198286237174215784762055,36.637393743945899871050642104819,56.479769927136800333755672909319,52.390098025251596425277966773137,16.486827184775599164368031779304,25.415896467211499754057513200678,23.575544111363200272535323165357
Hybrid Poplar,4B,30,36,44.661407470703096578290569595993,53.959049224853501414145284797996,51.883595885072267606119567062706,38.689774236581897071118874009699,59.033527837770300550346291856840,54.842123179127447940572892548516,17.410398406461901288366789231077,26.565087526996599365247675450519,24.678955430607466325909626903012
Hybrid Poplar,4B,30,37,45.433032989502002862991503207013,54.949645996093799737991503207013,52.836741526850858008401701226830,40.181627700046902873509679920971,61.436051755340699287444294895977,57.132238085831794194291433086619,18.081732465021101319280205643736,27.646223289903399944478223915212,25.709507138624349664723922614940
Hybrid Poplar,4B,30,38,46.251621246337897730427357601002,55.853874206542997171709430404007,53.716728562195648066790454322472,41.856591803890601966031681513414,63.379191106708802294633642304689,59.059182227204345849713718052953,18.835466311750700185712048551068,28.520635998018999401892870082520,26.576632002241979080281453207135
Hybrid Poplar,4B,30,39,47.266422271728501414145284797996,56.823280334472698882564145606011,54.689950148257096884663042146713,44.349907058799701076168275903910,65.706163783933106969925574958324,61.440253953429866839996975613758,19.957458176459798693258562707342,29.567773702769798660483502317220,27.648114279043337404573321691714
Hybrid Poplar,4B,30,40,47.892993927002002862991503207013,57.773658752441399144572642398998,55.506431290310572990165383089334,45.335107658303201105809421278536,67.694927980488799335034855175763,63.264885427594556688291049795225,20.400798446236400707221037009731,30.462717591219998780616151634604,28.469198442417567918027998530306
Hybrid Poplar,4B,30,41,48.632122039794900558717927196994,58.611083984375000000000000000000,56.315110471262833868877351051196,46.822113543786898048892908263952,69.427312831441696516776573844254,65.018820675434369604772655293345,21.069951094703998961676916223951,31.242290774148600007720233406872,29.258469303945382478104875190184
Hybrid Poplar,4B,30,42,49.299930572509801152136788005009,59.401252746582002828290569595993,57.095536901483576741611614124849,48.024642053241301198340806877241,71.287953604741304047820449341089,66.719668096188144090774585492909,21.611088923958600815922181936912,32.079579122133701218899659579620,30.023850643284614392314324504696
