Hardiness,Species,Mortality_pct,Age,TEC_MgCkmyr_min,TEC_MgCkmyr_max,TEC_MgCkmyr_wavg,TEC_MgCkm_min,TEC_MgCkm_max,TEC_MgCkm_wavg,Biom_MgCkmyr_min,Biom_MgCkmyr_max,Biom_MgCkmyr_wavg,Biom_MgCkm_min,Biom_MgCkm_max,Biom_MgCkm_wavg,DOM_MgCkmyr_min,DOM_MgCkmyr_max,DOM_MgCkmyr_wavg,DOM_MgCkm_min,DOM_MgCkm_max,DOM_MgCkm_wavg,Stems_min,Stems_max,Stems_wavg,km_per_ha_min,km_per_ha_max,km_per_ha_wavg,Stems_tosum1ha_min,Stems_tosum1ha_max,Stems_tosum1ha_wavg
2A,Caragana,0,28,2.022136927,2.22097826,2.093330371,75.38988495,127.5272446,82.29236696,1.688667178,1.773789167,1.720601896,17.99038696,19.06072426,18.37265558,0.333469719,0.451030225,0.372728475,57.39949799,108.5086212,63.91971138,527,527,527,1.65154386,1.65154386,1.65154386,825.7719299,825.7719299,825.7719299
2A,Caragana,0,29,2.288793087,2.410568237,2.327765386,77.67868042,129.9378204,84.62013555,1.76493001,1.85291481,1.797963802,19.75531769,20.90849113,20.17061982,0.468002498,0.557653368,0.529801514,57.92336273,109.0662766,64.44951409,527,527,527,1.617764479,1.617764479,1.617764479,808.8822394,808.8822394,808.8822394
2A,Caragana,0,30,2.37362361,2.531424284,2.442033954,80.0522995,132.4683228,87.06216392,1.836009264,1.926638365,1.870056648,21.59132767,22.82859039,22.04067628,0.537614226,0.626082599,0.571977256,58.46097565,109.6701508,65.02149109,527,527,527,1.585786694,1.585786694,1.585786694,792.893347,792.893347,792.893347
2A,Caragana,0,31,2.503080845,2.696706295,2.582563267,82.56065369,135.1383362,89.64472993,1.901212215,1.994259834,1.936187649,23.49254036,24.81485367,23.9768645,0.516818166,0.724083006,0.646375566,59.06811523,110.3459015,65.6678669,527,527,527,1.555459024,1.555459024,1.555459024,777.729512,777.729512,777.729512
2A,Caragana,0,32,2.630528688,2.799385786,2.678603043,85.191185,137.9377289,92.32333624,1.959903359,2.055132866,1.995712155,25.45244217,26.86046791,25.97257581,0.628526509,0.74425292,0.682890941,59.73873901,111.0901489,66.3507562,527,527,527,1.52664709,1.52664709,1.52664709,763.3235448,763.3235448,763.3235448
2A,Caragana,0,33,2.541311026,2.821115255,2.615291947,87.73249054,140.7588348,94.93862442,2.011485815,2.108654261,2.048034203,27.46392822,28.95804596,28.02060973,0.529825091,0.712461054,0.567257682,60.26856613,111.8026123,66.91801528,527,527,527,1.499231219,1.499231219,1.499231219,749.6156096,749.6156096,749.6156096
2A,Caragana,0,34,2.725997925,2.87455821,2.782289717,90.45848846,143.5878906,97.72091458,2.055435181,2.154295444,2.092625442,29.5193634,31.11051941,30.11323548,0.592394531,0.742620528,0.689664304,60.93912888,112.4773712,67.60768048,527,527,527,1.473104452,1.473104452,1.473104452,736.5522261,736.5522261,736.5522261
2A,Caragana,0,35,2.663709164,3.113990545,2.807529287,93.12220001,146.6521912,100.5284433,2.091295004,2.191599607,2.129027434,31.61065865,33.30212021,32.24226317,0.5724141,0.936662376,0.678501839,61.51154327,113.3500824,68.2861823,527,527,527,1.448170862,1.448170862,1.448170862,724.0854311,724.0854311,724.0854311
2A,Caragana,0,36,2.709008932,3.112742662,2.838306829,95.83120728,149.7649384,103.3667489,2.118694067,2.220183849,2.156867357,33.72935104,35.52230453,34.39912954,0.590314865,0.892558813,0.681439548,62.10185623,114.2426376,68.96762096,527,527,527,1.424344142,1.424344142,1.424344142,712.1720708,712.1720708,712.1720708
2A,Caragana,0,37,2.649013042,2.93751049,2.768444591,98.48022461,152.6386566,106.1351975,2.137333393,2.23975563,2.175847596,35.86668777,37.76205826,36.57497865,0.511679649,0.720423162,0.592596976,62.61353683,114.8765945,69.56021731,527,527,527,1.401546403,1.401546403,1.401546403,700.7732013,700.7732013,700.7732013
2A,Caragana,0,38,2.812724352,2.972012997,2.870270533,101.2929459,155.4845581,109.0054647,2.147031546,2.250133276,2.185781758,38.01371765,40.01219177,38.76075901,0.595770001,0.744583189,0.684488809,63.27922821,115.4723663,70.24470558,527,527,527,1.379707154,1.379707154,1.379707154,689.8535772,689.8535772,689.8535772
2A,Caragana,0,39,2.889515162,3.112580776,2.97557214,104.1824646,158.5221863,111.9810414,2.147680759,2.251204014,2.186567661,40.16139984,42.26339722,40.94732786,0.730159163,0.884069443,0.789004454,64.02106476,116.2587891,71.03371227,527,527,527,1.358762428,1.358762428,1.358762428,679.3812138,679.3812138,679.3812138
2A,Caragana,0,40,2.836128712,3.292220116,2.93884552,107.0220184,161.8144073,114.9198856,2.139291048,2.242978811,2.17820921,42.3006897,44.50637436,43.12553642,0.614965379,1.049241424,0.760636405,64.72132874,117.3080292,71.79434989,527,527,527,1.338654023,1.338654023,1.338654023,669.3270114,669.3270114,669.3270114
