AREA,PERIMETER,POLY_ID,ECO_ID
7.099514821,65.47183405,2001,2
0.129107822,2.918360097,1035,1
0.826328675,9.641703458,14026,14
0.259257542,6.051362763,1036,1
0.703364626,12.29981439,20002,20
1.448620962,11.98753579,20008,20
1.836356163,19.00061366,2002,2
0.801305389,9.671116225,20006,20
0.515888341,8.755134993,16001,16
0.137443906,3.103699191,20005,20
0.704627549,16.17292141,20010,20
0.043390271,1.35845155,1037,1
0.135869661,3.325806487,20004,20
0.148263868,4.050206328,16002,16
0.405831361,4.606848173,21001,21
0.98578875,8.737443339,26004,26
0.594021529,10.30765871,16003,16
1.395019058,25.72835646,22001,22
0.078226339,3.0742927,20009,20
0.072336438,2.384512132,2003,2
0.128774455,3.175239617,20011,20
0.151103504,4.876922459,20012,20
0.586927918,8.546479994,14027,14
0.055909153,2.15575768,20013,20
0.824310376,10.74641107,20007,20
0.230654981,4.250198457,20015,20
0.154198145,3.013957867,20019,20
0.017921541,1.406944107,20017,20
0.06234928,2.445388192,20016,20
0.195014366,3.106918874,16004,16
0.275256427,5.653796837,20014,20
1.291424704,15.68306087,21003,21
1.015511692,5.720994669,14028,14
0.112864608,3.593481329,16005,16
0.064677028,2.26106695,20020,20
0.393528391,5.751508961,20021,20
0.566312614,11.39082111,16006,16
0.602887726,6.766039165,21004,21
0.681444427,6.096465189,26005,26
0.361345007,5.982224968,20018,20
1.147042154,18.7917555,21002,21
2.019555084,17.85242104,3001,3
0.821420303,10.89950863,26006,26
2.729105085,12.19504837,27001,27
0.027008871,1.4075135,16007,16
2.043782522,26.20328989,21006,21
0.168461482,5.794334033,3002,3
0.646409288,10.45518197,21005,21
0.005238782,0.585508799,3003,3
0.081107701,3.05124716,16008,16
0.115609372,2.271568763,21007,21
0.051050331,1.245728518,16009,16
0.052679063,2.261751042,2006,2
0.333541694,5.888457413,22002,22
0.04196558,1.201793505,16010,16
0.130072774,3.047848951,26008,26
0.143329653,2.475510466,21010,21
0.013898842,0.771652625,21009,21
0.883716304,13.61004002,16011,16
0.792303584,15.05260282,21008,21
0.055853356,2.910257968,2004,2
0.100803221,3.02429248,2005,2
0.189677159,2.629775576,21012,21
0.02112198,0.928153507,16012,16
2.139366059,13.4085431,26007,26
0.086112753,1.75459843,21014,21
0.118939258,4.012725189,2007,2
0.245567248,6.017445386,21011,21
0.163031593,3.836103214,21013,21
0.044200122,1.103652402,27002,27
0.88168056,8.43244977,14029,14
0.127452643,2.195925462,21017,21
0.31636385,11.7977745,21015,21
1.156509786,12.04843936,3004,3
0.214066787,4.790232032,21016,21
0.036322993,1.255806621,27003,27
0.008335823,0.792329003,3005,3
1.015943404,19.48860704,22003,22
0.576873873,11.78638633,2008,2
0.022375989,1.048620819,2010,2
0.067016362,2.379885434,16013,16
0.133563407,4.322252413,2011,2
0.041520078,2.308172346,26009,26
0.058570751,2.91461789,14030,14
0.497621097,13.25927165,2009,2
1.752027948,13.96420943,26010,26
0.104037616,1.74411751,21019,21
0.523698153,9.968151653,14031,14
3.321413548,14.06801197,27004,27
0.134154173,3.750053492,21018,21
0.003218191,0.415093311,2013,2
0.053352106,4.036189688,2012,2
9.446376663,53.44881477,27030,27
