Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude
517005,517,"14,572","338,841",45.222593,-63.538551
517006,517,"5,569","338,841",45.202103,-63.171995
517007,517,"33,471","338,841",45.281216,-63.701531
517008,517,"12,664","338,841",45.108351,-63.344125
517009,517,"11,909","338,841",45.173429,-63.54443
517010,517,"58,342","338,841",45.063272,-63.899371
517011,517,"24,757","338,841",45.155858,-63.912212
517012,517,"7,246","338,841",45.075978,-63.605469
517013,517,"2,608","338,841",45.176093,-64.07192
517014,517,"9,189","338,841",45.071361,-64.211394
517015,517,"6,680","338,841",44.9886,-64.131915
518001,518,"11,936","168,203",45.182938,-64.365469
518002,518,"6,435","168,203",45.145505,-64.29761
518003,518,"5,470","168,203",45.083116,-64.321488
518004,518,"17,644","168,203",45.085391,-64.568432
518005,518,"4,142","168,203",45.105941,-64.386049
518006,518,"6,836","168,203",45.101327,-64.669707
518007,518,"1,310","168,203",45.113538,-64.452589
518008,518,"20,363","168,203",45.021294,-64.446358
518009,518,"7,648","168,203",45.037379,-64.841221
518010,518,"2,753","168,203",45.02667,-64.727552
518011,518,"16,573","168,203",44.964132,-64.959378
518012,518,"3,609","168,203",44.965707,-64.87061
518013,518,"5,392","168,203",44.956707,-64.824067
518014,518,"5,509","168,203",44.941246,-65.118786
518015,518,"10,590","168,203",44.882364,-65.016588
518016,518,"10,386","168,203",44.8063,-65.37671
518017,518,"4,630","168,203",44.861292,-65.154209
518018,518,"26,976","168,203",44.66741,-65.64209
519001,519,"21,029","482,391",45.318596,-61.640781
519003,519,"32,676","482,391",45.142228,-61.829568
519004,519,"128,082","482,391",45.025349,-62.697378
519012,519,"20,285","482,391",45.18985,-62.927148
519016,519,"36,840","482,391",45.009222,-62.890954
519018,519,"54,441","482,391",44.839864,-63.226814
519021,519,"46,084","482,391",44.712527,-63.454001
520001,520,"6,276","130,129",45.112226,-63.669579
520002,520,"21,335","130,129",44.933602,-63.3871
520003,520,"43,583","130,129",44.93243,-63.685212
520005,520,"13,840","130,129",45.00137,-63.886984
520006,520,"34,223","130,129",44.926316,-63.899491
521002,521,"6,155","328,016",46.888441,-60.492887
521004,521,"32,810","328,016",46.478911,-60.397733
521005,521,"20,306","328,016",46.297246,-60.495138
521006,521,"7,705","328,016",46.029577,-61.147572
521007,521,"3,977","328,016",45.991215,-61.071194
521008,521,"95,174","328,016",47.069167,-60.472904
521009,521,"146,695","328,016",46.532462,-60.466904
522001,522,"6,776","292,173",46.331673,-61.036242
522002,522,"1,560","292,173",46.304839,-61.027663
522003,522,"12,172","292,173",46.33931,-61.266895
522004,522,"8,759","292,173",46.236205,-61.215538
522005,522,"6,393","292,173",46.274944,-61.331216
522007,522,"4,165","292,173",46.170765,-61.215828
522008,522,"25,594","292,173",46.16712,-61.468211
522009,522,"1,376","292,173",46.168024,-61.32058
522010,522,"7,838","292,173",46.123881,-61.224315
522011,522,"8,058","292,173",46.086793,-61.356206
522012,522,"11,326","292,173",46.024934,-61.260479
522013,522,"16,917","292,173",46.060511,-61.482927
522014,522,"72,869","292,173",45.967047,-61.629585
522015,522,"35,661","292,173",45.870849,-61.338017
522016,522,"5,281","292,173",46.003491,-61.403613
522018,522,"4,903","292,173",46.623076,-61.008548
522020,522,"8,701","292,173",46.548581,-61.098546
522021,522,"7,294","292,173",46.490152,-61.145349
522022,522,"15,410","292,173",46.395196,-61.135367
522023,522,"8,310","292,173",46.151065,-61.170883
523001,523,"33,764","477,771",46.380321,-60.239615
523003,523,"39,450","477,771",46.26052,-60.014199
523004,523,"31,412","477,771",46.194179,-59.888568
523005,523,"33,180","477,771",46.115676,-59.826902
523006,523,"4,907","477,771",46.333261,-60.381845
523007,523,"29,137","477,771",46.142355,-60.578604
523008,523,"8,232","477,771",46.132206,-60.138754
523009,523,"6,379","477,771",46.271109,-60.630016
523010,523,"5,749","477,771",46.19329,-60.326972
523011,523,"8,257","477,771",46.117899,-60.326668
523012,523,"17,150","477,771",46.070205,-60.153934
523014,523,"2,704","477,771",46.132315,-60.291933
523015,523,"6,768","477,771",46.048449,-60.3393
523016,523,"6,462","477,771",46.167259,-60.713859
523017,523,"12,032","477,771",45.902661,-60.399686
523018,523,"6,571","477,771",46.194969,-60.771311
523019,523,"3,072","477,771",46.187814,-60.933473
523020,523,"8,329","477,771",46.11247,-60.815232
523022,523,"7,113","477,771",46.080799,-60.941184
523023,523,"11,386","477,771",46.034448,-60.80587
523025,523,"59,739","477,771",45.909077,-61.091954
523027,523,"2,860","477,771",45.986734,-60.839191
523028,523,"2,088","477,771",45.946417,-60.841508
523029,523,"4,762","477,771",45.791522,-60.587616
523030,523,"23,315","477,771",45.761343,-60.79363
523031,523,"18,975","477,771",45.755763,-60.978481
523032,523,"11,530","477,771",45.723707,-60.877645
523033,523,"17,164","477,771",45.709407,-61.150561
523035,523,"5,590","477,771",45.755918,-61.338386
523036,523,"3,535","477,771",45.61053,-61.205038
523037,523,"3,701","477,771",45.698433,-61.345093
523038,523,"3,946","477,771",45.647779,-61.213805
523039,523,"12,084","477,771",45.612158,-61.315483
523040,523,"3,322","477,771",45.674567,-61.433951
524001,524,"32,371","108,287",46.057079,-60.501747
524002,524,"32,302","108,287",45.923282,-60.642921
524003,524,"36,560","108,287",45.843189,-60.639935
525001,525,"39,716","201,722",45.936585,-61.881358
525002,525,"16,847","201,722",45.880221,-62.052254
525003,525,"31,924","201,722",45.784779,-61.854742
525004,525,"45,404","201,722",45.709533,-61.700519
525005,525,"8,760","201,722",45.649961,-61.561706
525006,525,"5,212","201,722",45.78181,-62.008249
525007,525,"12,158","201,722",45.639601,-61.893464
525008,525,"23,438","201,722",45.519889,-61.845335
525009,525,"16,014","201,722",45.546096,-61.986862
525010,525,"1,004","201,722",45.578244,-62.041932
525011,525,"1,245","201,722",45.569165,-62.106834
526001,526,"17,552","17,552",45.814175,-61.117345
527001,527,"4,257","124,898",45.680601,-61.976956
527002,527,"47,116","124,898",45.592876,-62.178835
527003,527,"3,818","124,898",45.670374,-62.05219
527004,527,"3,238","124,898",45.576975,-62.34726
527005,527,"2,129","124,898",45.598772,-62.34259
527006,527,"20,295","124,898",45.472846,-62.223574
527007,527,"14,819","124,898",45.426496,-62.50948
527008,527,"15,376","124,898",45.483838,-62.471513
527009,527,"5,506","124,898",45.429093,-62.330926
527010,527,"3,113","124,898",45.407716,-62.210474
528001,528,"3,992","162,742",45.638664,-63.482215
528002,528,"1,398","162,742",45.641319,-63.560379
528003,528,"10,713","162,742",45.622952,-63.712805
528004,528,"1,224","162,742",45.591977,-63.818709
528006,528,"31,413","162,742",45.574683,-64.205224
528007,528,"2,926","162,742",45.76734,-64.217063
528008,528,"11,930","162,742",45.69481,-64.141097
528009,528,"3,151","162,742",45.623096,-64.098401
528010,528,"37,734","162,742",45.585312,-64.511654
528012,528,"5,210","162,742",45.645836,-64.178617
528013,528,"35,426","162,742",45.485039,-64.515946
528014,528,"3,998","162,742",45.556991,-64.295511
529003,529,"23,605","96,174",45.537622,-61.497549
529006,529,"18,297","96,174",45.387808,-61.706059
529007,529,"7,740","96,174",45.417306,-61.461849
529008,529,"20,216","96,174",45.412061,-61.609429
529009,529,"4,940","96,174",45.424277,-61.803433
529010,529,"5,123","96,174",45.402118,-61.884855
530001,530,"6,565","161,040",45.610529,-62.950597
530002,530,"8,148","161,040",45.624243,-63.180366
530003,530,"9,382","161,040",45.56485,-63.088889
530004,530,"3,390","161,040",45.571931,-63.146896
530007,530,"129,865","161,040",45.525772,-63.721718
531001,531,"23,968","252,745",45.294456,-61.969223
531002,531,"1,733","252,745",45.403087,-62.044702
531004,531,"7,429","252,745",45.362745,-62.03048
531006,531,"2,259","252,745",45.362352,-61.980561
531007,531,"58,088","252,745",45.332302,-62.265733
531008,531,"13,889","252,745",45.469665,-62.675871
531009,531,"13,367","252,745",45.509875,-62.83895
531011,531,"35,671","252,745",45.430502,-62.944425
531012,531,"5,867","252,745",45.39106,-62.670871
531014,531,"3,895","252,745",45.400459,-62.845816
531017,531,"3,563","252,745",45.318724,-62.876247
531018,531,"13,832","252,745",45.424798,-63.221823
531019,531,"17,267","252,745",45.285732,-63.008297
531021,531,"18,772","252,745",45.451827,-63.593999
531022,531,"3,800","252,745",45.44658,-63.794663
534001,534,"69,527","535,001",46.994548,-63.908011
534002,534,"56,273","535,001",46.7847,-64.135574
534003,534,"52,839","535,001",46.707632,-64.326688
534004,534,"116,374","535,001",46.924255,-64.410591
534005,534,"213,610","535,001",46.562043,-64.067553
534008,534,"7,817","535,001",46.583155,-63.779626
534009,534,"2,982","535,001",46.595488,-63.835026
534010,534,"14,440","535,001",46.534869,-63.926141
535001,535,"125,542","125,542",46.20122,-63.6
536001,536,"399,592","994,670",46.307992,-61.975961
536002,536,"2,337","994,670",46.404988,-62.048545
536003,536,"110,261","994,670",46.372242,-62.661012
536004,536,"159,394","994,670",46.514634,-63.143559
536005,536,"5,286","994,670",46.357512,-62.306525
536006,536,"1,959","994,670",46.454716,-62.691081
536007,536,"1,509","994,670",46.433898,-62.792064
536008,536,"135,872","994,670",46.152042,-62.455672
536009,536,"1,997","994,670",46.416382,-62.969731
536010,536,"2,349","994,670",46.499687,-63.419853
536011,536,"2,121","994,670",46.430464,-63.218936
536012,536,"55,043","994,670",46.198296,-62.963821
536013,536,"18,657","994,670",46.27163,-63.172071
536014,536,941,"994,670",46.046606,-62.494199
536015,536,"89,769","994,670",45.977592,-62.930551
536016,536,"7,583","994,670",46.071114,-62.990265
537001,537,"23,429","158,252",46.525825,-63.550915
537002,537,"16,079","158,252",46.270032,-63.324361
537003,537,"42,086","158,252",46.318934,-63.418673
537004,537,"7,052","158,252",46.342641,-63.561666
537005,537,"69,607","158,252",46.096098,-63.321411
538001,538,"32,402","32,402",46.104926,-62.742056
539001,539,"42,765","121,285",47.698724,-61.512025
539003,539,"6,582","121,285",47.505478,-61.696475
539004,539,"16,046","121,285",47.391309,-61.749243
539005,539,"9,664","121,285",47.38269,-61.917163
539006,539,"29,316","121,285",47.279486,-61.82719
539007,539,"3,875","121,285",47.309731,-61.99065
539008,539,"7,618","121,285",47.232232,-61.994193
540001,540,"69,285","1,904,072",47.369864,-70.113249
540002,540,"1,518","1,904,072",47.446029,-69.955678
540003,540,"44,844","1,904,072",47.277725,-70.303592
540004,540,"10,079","1,904,072",47.10076,-70.27443
540005,540,"21,484","1,904,072",47.097005,-70.370841
540006,540,"20,466","1,904,072",47.145582,-70.513293
540007,540,"2,404","1,904,072",46.98196,-70.482277
540008,540,"3,706","1,904,072",46.86714,-70.640934
540009,540,"6,423","1,904,072",46.799361,-70.764804
540010,540,"2,856","1,904,072",46.73492,-71.606647
540011,540,"35,241","1,904,072",46.500625,-71.513594
540012,540,"11,127","1,904,072",46.594898,-71.270358
540014,540,"12,290","1,904,072",46.622832,-71.656471
540015,540,"3,176","1,904,072",46.538277,-71.079623
540016,540,"8,418","1,904,072",46.797643,-72.497124
540017,540,"25,968","1,904,072",46.570051,-72.197496
540018,540,"50,381","1,904,072",46.43753,-71.352122
540019,540,"35,137","1,904,072",46.506779,-72.120194
540020,540,"12,692","1,904,072",46.575585,-71.7261
540021,540,"14,364","1,904,072",46.63003,-72.04825
540022,540,"7,625","1,904,072",46.434684,-71.115721
540023,540,"2,302","1,904,072",46.533505,-71.529243
540024,540,"6,736","1,904,072",46.711413,-72.594423
540025,540,"50,124","1,904,072",46.473424,-71.836504
540027,540,"7,336","1,904,072",46.662943,-72.641627
540028,540,"8,541","1,904,072",46.607125,-72.386259
540029,540,"8,613","1,904,072",46.576362,-72.478548
540030,540,"16,418","1,904,072",46.579399,-72.583913
540031,540,"2,657","1,904,072",46.431903,-71.668111
540032,540,"2,860","1,904,072",46.391911,-71.566235
540033,540,"18,282","1,904,072",46.49501,-72.716707
540034,540,"8,621","1,904,072",46.464737,-72.408335
540035,540,"231,628","1,904,072",45.89041,-72.28296
540036,540,"20,133","1,904,072",46.480445,-72.526558
540037,540,"18,556","1,904,072",46.445794,-72.36053
540039,540,"3,506","1,904,072",46.379923,-71.803435
540040,540,"10,143","1,904,072",46.302505,-71.685475
540041,540,"2,356","1,904,072",46.322935,-71.606681
540042,540,"23,235","1,904,072",46.276484,-72.162053
540043,540,"4,491","1,904,072",46.526367,-72.804513
540044,540,"13,201","1,904,072",46.323829,-72.492326
540045,540,"21,673","1,904,072",46.196611,-71.753143
540046,540,"18,961","1,904,072",46.332489,-72.612586
540047,540,"12,384","1,904,072",46.151855,-71.935555
540048,540,"8,291","1,904,072",46.465097,-72.923993
540049,540,"4,588","1,904,072",46.279841,-72.077545
540050,540,"3,998","1,904,072",46.307463,-72.321384
540051,540,"15,172","1,904,072",46.341479,-72.736593
540052,540,"63,781","1,904,072",46.354188,-72.947938
540053,540,"8,568","1,904,072",46.019824,-71.913603
540054,540,"6,641","1,904,072",46.223697,-72.21891
540055,540,"6,717","1,904,072",46.238591,-72.51158
540056,540,"8,365","1,904,072",46.143539,-72.13967
540057,540,"18,703","1,904,072",46.205771,-72.711547
540058,540,"1,844","1,904,072",46.329328,-72.863134
540059,540,"4,524","1,904,072",46.187385,-72.437289
540060,540,"25,929","1,904,072",46.172143,-72.97288
540061,540,"7,815","1,904,072",46.056943,-72.166868
540062,540,"8,798","1,904,072",46.208127,-72.904558
540063,540,"19,001","1,904,072",46.137076,-72.66684
540064,540,"9,562","1,904,072",46.140173,-72.860508
540065,540,"9,790","1,904,072",46.041059,-72.457114
540066,540,"3,663","1,904,072",45.956397,-72.063275
540067,540,"1,513","1,904,072",46.034705,-72.350128
540068,540,"3,967","1,904,072",45.924097,-72.123148
540069,540,"9,386","1,904,072",46.112987,-73.017186
540070,540,"15,220","1,904,072",46.041404,-72.981346
540071,540,"6,023","1,904,072",46.094202,-73.121452
540072,540,"6,262","1,904,072",45.949666,-72.436754
540073,540,"3,714","1,904,072",45.929843,-72.324093
540074,540,"63,511","1,904,072",45.866561,-72.729158
540075,540,"14,374","1,904,072",45.844135,-72.60512
540076,540,"11,684","1,904,072",45.789932,-72.264708
540077,540,"4,436","1,904,072",45.81893,-72.535897
540078,540,"11,587","1,904,072",45.716789,-72.383954
540079,540,"1,712","1,904,072",45.791791,-72.56874
540080,540,"20,111","1,904,072",45.745802,-72.710553
540081,540,"8,824","1,904,072",45.64915,-72.676866
540082,540,"21,460","1,904,072",45.57019,-72.43305
540083,540,"13,595","1,904,072",45.590002,-72.843691
540084,540,"43,541","1,904,072",45.377709,-72.552209
540085,540,"8,080","1,904,072",45.55815,-72.529869
540086,540,"24,754","1,904,072",45.475867,-72.719768
540087,540,"15,524","1,904,072",45.515969,-72.801384
540088,540,"18,217","1,904,072",45.340452,-72.711448
540089,540,"7,591","1,904,072",45.396896,-72.911668
540090,540,"1,824","1,904,072",45.433895,-72.890119
540091,540,"20,081","1,904,072",45.259628,-72.971544
540092,540,"13,332","1,904,072",45.324224,-72.935878
540093,540,"47,112","1,904,072",45.13853,-72.911259
540094,540,"23,580","1,904,072",46.631924,-71.461181
540095,540,"10,360","1,904,072",46.611692,-71.041879
540096,540,"10,076","1,904,072",46.637151,-71.213761
540097,540,"10,771","1,904,072",47.061824,-70.606246
540098,540,"25,243","1,904,072",46.929794,-70.61603
540099,540,"18,279","1,904,072",46.992104,-70.707987
540100,540,"11,353","1,904,072",47.011496,-70.95083
540101,540,"23,861","1,904,072",46.972515,-70.863019
540102,540,"28,302","1,904,072",46.814299,-71.037622
540103,540,"7,230","1,904,072",46.895954,-71.025174
540104,540,"10,887","1,904,072",46.785209,-70.854035
540105,540,"30,646","1,904,072",46.759118,-71.439447
540106,540,"5,080","1,904,072",46.761242,-71.00938
540107,540,"11,329","1,904,072",46.671923,-70.957736
540109,540,"20,532","1,904,072",46.538861,-70.945325
540110,540,"15,447","1,904,072",46.683625,-71.138958
540111,540,"2,268","1,904,072",46.730957,-71.065334
540112,540,"11,677","1,904,072",46.752296,-71.904651
540113,540,"12,300","1,904,072",46.75402,-72.389577
540114,540,"7,782","1,904,072",46.750239,-71.797562
540115,540,"16,633","1,904,072",46.669647,-71.734784
540116,540,"11,727","1,904,072",46.708083,-72.03631
541001,541,"3,923","1,292,531",46.241825,-73.408379
541002,541,"11,011","1,292,531",46.131749,-73.474606
541003,541,"23,034","1,292,531",45.954224,-72.807314
541004,541,"30,875","1,292,531",45.952582,-73.313345
541005,541,"8,458","1,292,531",45.941243,-72.972354
541006,541,"13,002","1,292,531",45.893921,-73.216722
541007,541,"8,253","1,292,531",46.080777,-73.575659
541008,541,"65,567","1,292,531",45.75818,-73.063288
541009,541,"66,830","1,292,531",45.682611,-73.86828
541010,541,"3,994","1,292,531",45.925998,-73.088174
541011,541,"228,734","1,292,531",45.438465,-73.004744
541012,541,"34,518","1,292,531",45.922843,-73.626004
541013,541,"32,351","1,292,531",45.787842,-73.485019
541014,541,"10,070","1,292,531",45.658377,-73.312345
541015,541,"6,281","1,292,531",45.779825,-73.894169
541016,541,"17,789","1,292,531",45.736112,-73.902049
541017,541,"13,770","1,292,531",45.623661,-73.562752
541018,541,"2,700","1,292,531",45.677143,-73.579799
541019,541,"22,305","1,292,531",45.603238,-73.726234
541020,541,"11,539","1,292,531",45.507258,-73.498709
541021,541,"1,755","1,292,531",45.545347,-73.16907
541023,541,"3,181","1,292,531",45.545596,-73.334144
541024,541,"4,524","1,292,531",45.684306,-74.05655
541025,541,"11,440","1,292,531",45.346011,-73.184176
541026,541,"53,084","1,292,531",45.603335,-74.218177
541027,541,"2,047","1,292,531",45.460622,-73.079054
541028,541,"10,784","1,292,531",45.583157,-73.911999
541029,541,"2,911","1,292,531",45.639048,-74.056531
541030,541,"10,314","1,292,531",45.425441,-73.43394
541031,541,"26,247","1,292,531",45.459222,-73.813653
541032,541,"3,040","1,292,531",45.536659,-73.849045
541033,541,"10,220","1,292,531",45.468479,-74.039353
541034,541,"7,866","1,292,531",45.525773,-74.068385
541035,541,"9,103","1,292,531",45.631905,-74.549007
541036,541,"4,499","1,292,531",45.584925,-74.352713
541037,541,"3,450","1,292,531",45.492842,-73.90708
541038,541,"24,034","1,292,531",45.256942,-73.137472
541039,541,"26,355","1,292,531",45.351086,-73.711541
541040,541,"11,900","1,292,531",45.489851,-74.31295
541041,541,"37,910","1,292,531",45.218498,-73.490284
541042,541,"7,987","1,292,531",45.426087,-74.202092
541043,541,"17,941","1,292,531",45.335924,-74.096458
541044,541,"9,130","1,292,531",45.367296,-73.915091
541045,541,"54,020","1,292,531",45.197949,-74.378268
541046,541,"5,382","1,292,531",45.444863,-74.304632
541047,541,"17,186","1,292,531",45.133348,-73.098733
541048,541,"43,574","1,292,531",45.220288,-73.852405
541049,541,"22,293","1,292,531",45.350309,-74.324567
541050,541,"9,054","1,292,531",45.278567,-74.000566
541051,541,"2,026","1,292,531",45.246204,-73.699548
541052,541,"1,700","1,292,531",45.180352,-73.380884
541053,541,"18,279","1,292,531",45.139821,-73.608106
541054,541,"5,678","1,292,531",45.174675,-73.724359
541055,541,"12,917","1,292,531",45.05056,-73.235027
541056,541,"3,100","1,292,531",45.27994,-74.125513
541057,541,"14,507","1,292,531",45.291185,-74.432726
541058,541,"4,207","1,292,531",45.240885,-74.11093
541059,541,"21,075","1,292,531",45.060653,-73.520413
541060,541,"13,286","1,292,531",45.184465,-74.122435
541061,541,"35,482","1,292,531",45.079043,-73.932824
541062,541,"4,721","1,292,531",45.144149,-74.225858
541063,541,"11,005","1,292,531",45.125051,-74.355729
541064,541,"9,416","1,292,531",45.086463,-74.263709
541065,541,"5,083","1,292,531",45.119844,-74.03357
541066,541,"17,146","1,292,531",45.06939,-74.192341
541067,541,"11,990","1,292,531",45.021422,-73.900708
541068,541,"5,601","1,292,531",45.078708,-74.395473
541069,541,"8,193","1,292,531",45.016895,-74.212835
542001,542,"62,234","141,114",45.764798,-76.959533
542002,542,"25,161","141,114",45.630133,-76.831867
542003,542,"19,575","141,114",45.665843,-76.982456
542004,542,"34,143","141,114",45.492421,-76.703464
543001,543,"27,617","233,751",45.606144,-74.885303
543002,543,"5,228","233,751",45.652382,-74.890178
543003,543,"40,783","233,751",45.371522,-75.099751
543004,543,"5,298","233,751",45.634521,-75.038233
543005,543,"37,937","233,751",45.511122,-75.13397
543006,543,"7,136","233,751",45.489962,-74.829605
543007,543,"13,655","233,751",45.549928,-75.350277
543008,543,"21,192","233,751",45.46622,-74.937952
543009,543,"20,090","233,751",45.4234,-75.395687
543010,543,"15,728","233,751",45.334408,-75.519654
543011,543,"2,270","233,751",45.402263,-75.491117
543012,543,"36,815","233,751",45.259844,-75.302617
544001,544,"9,472","187,821",45.516543,-74.46686
544002,544,"10,753","187,821",45.512352,-74.609406
544003,544,"90,560","187,821",45.194267,-75.136909
544004,544,"17,745","187,821",45.281113,-74.87405
544005,544,"4,028","187,821",45.292077,-75.009302
544006,544,"1,602","187,821",45.30159,-75.580707
544007,544,"5,675","187,821",45.309606,-75.625421
544008,544,"14,741","187,821",45.154912,-75.261315
544009,544,"10,243","187,821",45.235639,-75.488196
544010,544,"8,397","187,821",45.176021,-75.401727
544011,544,"8,923","187,821",45.218238,-75.635145
544012,544,"5,683","187,821",45.175296,-75.578436
545001,545,"29,228","154,539",45.406708,-75.654506
545002,545,"26,349","154,539",45.454118,-76.05009
545003,545,"18,366","154,539",45.376455,-76.040827
545004,545,"14,634","154,539",45.419798,-76.434272
545005,545,"15,897","154,539",45.384555,-76.312743
545006,545,"50,065","154,539",45.206636,-75.804667
546001,546,"4,431","217,975",45.53709,-74.422164
546002,546,"22,452","217,975",45.40721,-74.590507
546003,546,"5,469","217,975",45.458724,-74.490159
546004,546,"9,243","217,975",45.356004,-74.502706
546005,546,"134,991","217,975",45.174664,-74.797779
546006,546,"35,183","217,975",44.972876,-75.161436
546007,546,"6,205","217,975",44.812054,-75.381826
547001,547,"14,840","480,736",45.254987,-76.271843
547002,547,"27,336","480,736",45.017218,-75.560667
547003,547,"18,232","480,736",45.0559,-75.659773
547004,547,"37,464","480,736",44.956416,-76.272499
547005,547,"37,813","480,736",44.861928,-75.61794
547006,547,"12,584","480,736",44.85858,-75.56254
547007,547,"11,616","480,736",44.87251,-75.910622
547008,547,"6,488","480,736",44.783744,-75.67685
547009,547,"8,210","480,736",44.734018,-76.299151
547010,547,"287,578","480,736",44.730833,-76.04242
547011,547,"18,574","480,736",44.653162,-75.653225
548001,548,"10,608","10,608",45.024363,-74.53713
549001,549,"42,680","104,764",44.465812,-75.8423
549002,549,"17,469","104,764",44.530776,-76.185319
549003,549,"38,844","104,764",44.437601,-75.972595
549004,549,"5,771","104,764",44.455576,-76.310338
550001,550,"62,489","2,681,961",46.196894,-83.901231
550003,550,"56,985","2,681,961",45.85995,-82.370269
550004,550,"22,407","2,681,961",45.934146,-82.256635
550006,550,"55,273","2,681,961",45.97165,-82.611021
550008,550,"26,157","2,681,961",45.923695,-81.96729
550010,550,"20,171","2,681,961",45.789312,-81.992042
550012,550,"24,423","2,681,961",45.808689,-82.158072
550014,550,"4,114","2,681,961",45.874764,-82.484099
550015,550,"10,806","2,681,961",45.820966,-81.90963
550016,550,"1,156,477","2,681,961",45.154228,-81.519396
550017,550,"97,664","2,681,961",45.55433,-82.165095
550018,550,"159,836","2,681,961",45.627015,-82.648891
550019,550,"6,684","2,681,961",45.682272,-81.827948
550021,550,"5,788","2,681,961",45.640434,-82.021697
550025,550,"9,124","2,681,961",44.961772,-81.284488
550027,550,"479,685","2,681,961",44.594258,-81.831185
550028,550,"6,453","2,681,961",44.635914,-81.22249
551001,551,"121,341","956,844",44.710853,-80.309457
551002,551,"112,863","956,844",44.73203,-79.998528
551005,551,"20,784","956,844",44.699672,-79.435023
551007,551,"9,789","956,844",44.712092,-79.609998
551008,551,"34,108","956,844",44.645619,-80.513704
551009,551,"26,359","956,844",44.672294,-79.701799
551010,551,"62,350","956,844",44.659867,-80.658894
551011,551,"10,957","956,844",44.639219,-79.578825
551012,551,"47,288","956,844",44.470192,-79.540436
551013,551,"15,202","956,844",44.665024,-80.827062
551014,551,"54,067","956,844",44.352351,-79.506206
551015,551,"5,288","956,844",44.533219,-79.87056
551016,551,"15,494","956,844",44.659296,-81.067946
551017,551,"10,817","956,844",44.531369,-79.9353
551018,551,"64,691","956,844",44.500924,-81.221232
551019,551,"9,633","956,844",44.471469,-79.864937
551020,551,"13,317","956,844",44.413666,-80.145211
551021,551,"73,734","956,844",44.24212,-79.931665
551022,551,"66,900","956,844",44.450666,-80.777362
551023,551,"18,536","956,844",44.50075,-80.386654
551024,551,"6,559","956,844",44.394733,-79.860711
551025,551,"4,390","956,844",44.393638,-80.017082
551026,551,"12,922","956,844",44.428688,-81.063712
551027,551,"14,868","956,844",44.427005,-81.376143
551028,551,"62,204","956,844",44.31522,-81.298374
551029,551,"42,180","956,844",43.973362,-79.905832
552001,552,"51,074","507,581",44.428857,-77.133617
552002,552,"14,261","507,581",44.552503,-77.494501
552003,552,"116,428","507,581",44.626377,-78.983967
552004,552,"62,838","507,581",44.427845,-77.431164
552005,552,"15,377","507,581",44.68278,-79.212044
552006,552,"9,083","507,581",44.565978,-78.28193
552007,552,"29,445","507,581",44.485517,-78.001411
552008,552,"26,495","507,581",44.485954,-78.402378
552009,552,"32,674","507,581",44.564478,-79.260517
552010,552,"26,682","507,581",44.309378,-77.733888
552011,552,"111,148","507,581",44.492371,-78.847349
552012,552,"12,077","507,581",44.389394,-78.536682
553001,553,"40,888","1,141,623",44.247947,-77.485042
553002,553,"38,227","1,141,623",44.208175,-77.354308
553003,553,"63,221","1,141,623",44.26342,-77.973427
553004,553,"18,259","1,141,623",44.301926,-77.57728
553005,553,"39,789","1,141,623",44.309395,-78.776882
553006,553,"75,460","1,141,623",44.30194,-79.27204
553007,553,"41,813","1,141,623",44.079235,-77.964531
553008,553,"27,503","1,141,623",44.061076,-77.758987
553010,553,"81,551","1,141,623",44.136284,-78.863119
553011,553,"13,527","1,141,623",44.2921,-79.443675
553012,553,"25,737","1,141,623",44.091212,-78.593466
553013,553,"71,895","1,141,623",44.065531,-79.702315
553014,553,"115,157","1,141,623",43.835726,-77.743092
553015,553,"10,901","1,141,623",44.056382,-78.333913
553016,553,"23,626","1,141,623",44.171417,-79.217249
553017,553,"9,055","1,141,623",44.02695,-78.06411
553018,553,"13,443","1,141,623",44.148944,-79.738427
553019,553,"9,553","1,141,623",44.026182,-78.246159
553020,553,"87,408","1,141,623",43.832864,-78.029037
553021,553,"15,322","1,141,623",44.029532,-78.637882
553022,553,"25,721","1,141,623",44.069904,-79.497284
553023,553,"11,472","1,141,623",43.988748,-78.425917
553024,553,"43,063","1,141,623",44.016467,-79.335199
553025,553,"57,815","1,141,623",43.817324,-78.237181
553026,553,"126,422","1,141,623",43.740636,-78.660579
553027,553,"44,761","1,141,623",43.800931,-78.571935
553028,553,"7,302","1,141,623",43.921096,-78.854565
554001,554,"116,183","141,207",44.317471,-78.31281
554002,554,"25,024","141,207",44.175288,-78.344397
555001,555,"17,065","730,785",44.447977,-76.838441
555002,555,"34,952","730,785",44.344152,-77.04149
555003,555,"29,688","730,785",44.175889,-76.837297
555004,555,"24,990","730,785",44.257696,-77.007657
555005,555,"59,441","730,785",44.043784,-76.661893
555006,555,"66,328","730,785",44.085593,-77.258253
555007,555,"212,614","730,785",43.826809,-76.984567
555008,555,"22,686","730,785",43.941417,-77.242905
555009,555,"7,076","730,785",43.921533,-77.077891
555010,555,"94,372","730,785",43.828041,-77.460098
555011,555,"59,176","730,785",44.292159,-76.659967
555012,555,"17,001","730,785",44.407655,-76.557729
555013,555,"9,192","730,785",44.317019,-76.429187
555014,555,"14,165","730,785",44.297787,-76.354592
