Tree #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
59,151.4248,113.4115,152.9956,111.8407,96.1327,72.8849,171.8451,79.7965,64.4026,103.3584,79.4823,124.7212,157.3938,,,,,,,,,,,,,,,,,,,,,,,,,
60,91.4203,128.8053,129.4336,139.8009,130.0619,128.8053,138.2301,70.3717,68.8009,95.1903,159.9071,111.5265,133.2035,42.7257,120.0088,,,,,,,,,,,,,,,,,,,,,,,
61,141.0575,126.6062,62.5177,67.5442,36.1283,53.7212,35.8142,94.5619,86.3938,134.146,136.3451,136.3451,74.4557,28.5885,29.2168,34.2434,128.4911,,,,,,,,,,,,,,,,,,,,,
62,111.2124,89.5354,109.6416,94.8761,69.7434,146.0841,68.8009,126.6062,162.7345,132.8894,133.2035,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,67.8584,98.9602,67.2301,74.1416,121.2655,98.9602,138.8584,79.4823,121.8938,79.4823,60.6327,77.5973,119.6947,106.5,142,86.708,112.1549,111.8407,183.469,142,120.9513,197.292,205.146,65.3451,67.5442,82.3097,33.9292,,,,,,,,,,,
64,53.7212,37.6991,150.6394,27.1119,40.6836,30.4734,68.958,52.4646,63.7743,98.0177,45.2389,79.7965,51.3965,42.0973,32.3584,32.9867,124.7212,,,,,,,,,,,,,,,,,,,,,
65,67.8584,67.5442,79.4823,31.1018,33.3009,53.0929,26.7035,38.9557,46.1814,21.3628,18.5354,44.3279,20.7345,32.9867,128.177,31.4159,154.5035,55.292,92.9911,48.0664,39.6155,124.0929,65.8164,44.3907,72.8849,,,,,,,,,,,,,
66,127.0774,37.0708,92.3628,46.4956,63.8057,12.4721,41.1863,51.2708,53.7527,44.8305,57.2084,90.792,118.438,127.8628,153.404,59.3761,98.646,,,,,,,,,,,,,,,,,,,,,
67,105.2434,178.7566,103.3584,126.1349,145.7699,155.1947,114.354,69.7434,86.3938,114.888,90.792,64.5283,34.5575,,,,,,,,,,,,,,,,,,,,,,,,,
68,82.6239,121.1712,92.1429,95.8186,173.1018,39.1442,32.3584,117.8097,144.8274,121.8938,98.8031,94.2478,82.3097,61.0411,100.8451,97.3894,77.2832,52.6217,122.742,103.7354,103.6726,113.2544,154.8805,95.5044,121.7995,113.3487,40.9664,171.7823,130.0619,152.7442,94.8761,40.9035,82.4354,47.1239,85.4513,85.577,88.0588,120.0088
69,89.5354,111.8407,103.3584,75.0841,92.3628,103.3584,100.2168,101.4734,89.2212,32.3584,80.3934,67.7013,103.1071,79.1053,49.9513,78.9168,43.2597,79.4195,93.9336,53.7841,42.0973,132.8894,103.0442,103.9867,,,,,,,,,,,,,,
70,105.2434,135.4969,128.7111,72.8849,66.0991,16.3363,102.4159,76.969,38.9557,38.9872,18.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,157.9279,94.5619,113.1602,95.8186,104.0181,26.9234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,112.4062,84.5088,76.0265,52.4646,31.8243,150.2938,94.2478,111.5265,139.4867,66.6018,71.754,77.9115,113.4115,101.7876,56.0774,59.1248,,,,,,,,,,,,,,,,,,,,,,
73,119.7575,61.2611,48.6947,24.1903,129.7792,69.5549,117.8411,55.9203,112.469,71.9425,75.0841,105.4318,47.3752,88.6872,41.5947,129.4336,92.3628,153.4668,59.8473,,,,,,,,,,,,,,,,,,,
74,47.7522,97.0752,52.7788,102.1018,134.7743,182.8407,59.3761,132.5752,36.1283,35.8142,84.1947,34.8717,148.5973,129.1195,140.7434,105.2434,207.9734,106.1858,60.6327,,,,,,,,,,,,,,,,,,,
75,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,89.2212,132.8894,163.677,149.854,40.8407,191.9513,160.8495,185.6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,58.1195,116.5531,44.2965,106.1858,93.6195,116.5531,120.0088,29.8451,95.1903,109.6416,84.1947,85.4513,66.6018,29.8451,24.5044,,,,,,,,,,,,,,,,,,,,,,,
78,142.3141,152.6814,53.7212,27.646,38.3274,80.4248,104.9292,49.6372,133.5177,205.146,105.5575,137.2876,122.6164,101.4734,76.0265,42.0973,64.0885,101.1593,115.2965,31.7615,25.4469,,,,,,,,,,,,,,,,,
79,130.3761,126.292,148.5973,115.2965,26.3894,176.2433,25.7611,26.0752,29.8451,28.9027,112.469,17.2788,26.7035,176.5575,27.9602,147.969,89.8495,46.1814,151.1106,179.6991,62.2035,85.4513,58.7478,22.6195,23.8761,25.4469,28.9027,,,,,,,,,,,
80,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,25.4469,62.2035,76.969,22.6195,96.1327,82.3097,121.8938,80.7389,76.969,105.8717,137.6018,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,49.323,46.4956,42.4115,42.7257,59.3761,23.5619,168.0752,71.9425,67.5442,60.3186,76.969,239.7035,218.3407,36.4425,117.8097,163.677,93.3053,53.7212,28.9027,38.0133,82.3097,66.6018,258.2389,247.5575,211.4292,18.2212,,,,,,,,,,,,
83,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,51.5221,93.3053,146.0841,148.2832,68.8009,180.3274,115.6106,19.792,51.8363,192.2655,108.6991,119.0664,68.4867,66.6018,92.0487,26.7035,65.031,127.5487,76.969,114.9823,46.8097,17.5929,41.469,50.8938,,,,,,,,,,,,,,
85,150.1681,152.0531,120.6372,158.3363,138.8584,60.3186,50.8938,90.792,32.6726,41.7832,41.7832,31.7301,187.8672,92.0487,106.5,36.1283,35.1858,,,,,,,,,,,,,,,,,,,,,
86,78.5398,42.0973,56.8628,222.4248,303.4779,200.4336,120.6372,35.1858,31.7301,50.5796,62.5177,60.6327,162.4203,161.792,148.2832,51.208,64.9367,125.0354,90.792,114.354,221.7964,70.0575,47.1239,55.6062,220.5398,,,,,,,,,,,,,
87,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,98.9602,23.2478,107.4425,35.5,186.9248,63.146,49.323,32.3584,32.0442,119.3805,31.7301,32.0442,110.3013,189.7522,58.1195,196.0354,206.0885,58.1195,59.0619,143.8849,149.5398,58.1195,120.0088,51.208,75.3982,163.3628,35.8142,,,,,,,,,,,
